form,lemma,POS,morph
quae,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Fem
vitam,uita,NOMcom,Case=Acc|Numb=Sing
nobis,nos,PROper,Case=Dat|Numb=Plur
promittit,promitto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
tempore,tempus1,NOMcom,Case=Abl|Numb=Sing
longo,longus,ADJqua,Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
hanc,hic1,PROdem,Case=Acc|Numb=Sing|Gend=Fem
sequor,sequor,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
hanc,hic1,PROdem,Case=Acc|Numb=Sing|Gend=Fem
didici,disco,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act
non,non,ADVneg,MORPH=empty
lubrica,lubricus,ADJqua,Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos
tangere,tango,VER,Mood=Inf|Tense=Pres|Voice=Act
dona,donum,NOMcom,Case=Acc|Numb=Plur
sumere,sumo,VER,Mood=Inf|Tense=Pres|Voice=Act
divitias,diuitiae,NOMcom,Case=Acc|Numb=Plur
facile,facile,ADJqua,Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et2,CONcoo,MORPH=empty
perdere,perdo,VER,Mood=Inf|Tense=Pres|Voice=Act
vitam,uita,NOMcom,Case=Acc|Numb=Sing
30,3,ADJcar,MORPH=empty
sed,sed,CONcoo,MORPH=empty
licet,licet1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act
et,et2,CONcoo,MORPH=empty
flammas,flamma,NOMcom,Case=Acc|Numb=Plur
post,post2,PRE,MORPH=empty
vulnera,uulnus,NOMcom,Case=Acc|Numb=Plur
saeva,saeuus,ADJqua,Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos
mineris,minor,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Dep|Person=2
nil,nihil,PROind,Case=Ind
mutare,muto2,VER,Mood=Inf|Tense=Pres|Voice=Act
potes,possum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
quod,quod1,PROrel,Case=Acc|Gend=Neut
primis,primus,ADJord,Case=Abl|Numb=Plur|Gend=Com|Deg=Sup
coepimus,coepio,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
annis,annus,NOMcom,Case=Abl|Numb=Plur
virtute,uirtus,NOMcom,Case=Abl|Numb=Sing
id,is,PROdem,Case=Acc|Numb=Sing|Gend=Neut
cum,cum3,CONsub,MORPH=empty
